VisualVHazimuth,VisualVHelevation,VisualRealazimuth,VisualRealelevation,AccousticVHmdnoLSazimuth,AccousticVHmdnoLSelevation,accousticVirtualHmdLaserazimuth,accousticVirtualHmdLaserelevation,accousticVHmdazimuth,accousticVHmdelevation,accousticRealazimuth,accousticRealelevation,accousticBlindHmdazimuth,accousticBlindHmdelevation,accousticBlindazimuth,accousticBlindelevation,VisualVHazTotal,VisualVHelTotal,VisualRealazTotal,VisualRealelTotal,accVirHmdNoLsaztotal,accVirHmdNoLseltotal,accousticVirtualHmdLaserazTotal,accousticVirtualHmdLaserelTotal,accVirHmdazTotal,accVirHmdelTotal,accRealazTotal,accRealelTotal,accBlindHmdazTotal,accBlindHmdelTotal,accBlindazTotal,accBlindelTotal
-92.27534933,-29.69135618,-88.41218176,-26.48315439,-81.74979811,-24.94084503,-78.04998093,-24.31693115,-82.19430418,-32.15240988,-86.38933706,-25.5182987,-83.9683486,-24.55715101,-82.81151457,-26.8415522,-37.46020411,21.52383189,-31.64107417,23.6122642,-26.53897952,32.61824183,-31.77567673,26.31820488,-30.68336009,21.793222,-28.13108348,35.9945045,-34.62127208,24.28076701,-47.85882472,28.34452205
-60.79190664,-31.68955703,-59.67206411,-26.5827269,-57.98149176,-30.34654996,-57.23798866,-27.7693428,-58.35231123,-31.10332329,-59.77200194,-24.78912669,-59.31188154,-25.88115971,-62.91610441,-25.41118482,-33.35302534,25.95539773,-38.61454573,44.12848199,-39.39164152,17.61143793,-30.46847343,23.16859245,-45.09923735,31.72159494,-34.41705122,33.91208566,-47.75987425,31.75727762,-33.57343092,5.428624281
-31.64286166,-30.21841355,-29.09106913,-24.43539796,-32.29520998,-29.45495535,-30.54175911,-28.06905556,-31.17400465,-31.44800737,-29.88738814,-24.30334526,-36.66392565,-28.1713866,-32.30144453,-31.4891449,-30.8730291,28.05675761,-31.40148674,25.99201457,-24.50936447,18.74750201,-30.15831184,27.91313553,-28.12737976,32.09062067,-29.9255632,31.82961909,-16.09963737,40.50749079,-9.919017178,27.57104746
0.192990844,-31.95213218,1.418077964,-21.7766404,-0.459869535,-26.73150532,0.472363117,-29.55511799,-0.856814809,-29.73888891,1.239707156,-25.30818015,2.977866869,-25.72895489,0.094594078,-31.4909446,-32.05920142,29.10273173,-34.639085,30.06340983,-38.72776526,39.74983027,-28.34111977,30.0448246,-26.9729206,18.30181696,-33.90005988,26.62160304,-10.13742465,37.43787577,-40.76512641,42.02597239
30.23061495,-33.52615109,29.73765192,-23.97729323,33.93693266,-30.11229139,29.91720524,-29.08190689,29.72968264,-30.68175564,31.05842752,-25.44343156,35.60466318,-28.45888701,33.65476828,-31.54895614,-36.90832839,23.64174402,-30.45645461,38.57101953,-29.74386916,35.44396722,-30.41446114,26.39082909,-37.93867812,34.52245462,-28.36669097,30.62953317,-27.17441688,26.00533807,-25.67157683,26.88344324
60.82761087,-32.70318518,60.14625482,-26.60494616,62.73806047,-32.82478776,57.40961533,-29.7267191,56.2294425,-33.90502978,59.86466455,-28.26714263,65.70325136,-25.98920446,59.88593912,-30.95815473,-31.45363475,23.1564715,-31.90135814,31.21175409,-45.01137401,35.93944956,-28.00795364,25.81873322,-32.01355602,23.3599856,-31.2027898,27.2737353,-23.28503658,37.8892634,-31.65216304,26.81364847
91.81162424,-32.38986526,90.38818445,-27.84539111,85.16107645,-34.42689038,76.32004738,-25.67582448,82.28556376,-31.88752718,86.65462274,-31.27288528,83.52793818,-26.75889254,86.18517084,-36.04225325,-31.14206235,21.87039508,-30.04260365,31.03291263,-33.69756619,30.17650546,-30.52033615,27.33604622,-29.77530782,27.27368869,-31.45228879,28.71877613,-50.66770856,22.95624103,-34.47844235,6.770247836
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-31.05976303,22.69954901,-30.65562638,33.92178946,-29.42967423,27.37308341,-30.0742321,27.88653946,-34.32601364,24.73257285,-29.76503571,31.51153784,-43.06410416,22.58422308,-34.65760239,28.82111197
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-32.6086962,31.97384279,-26.38414976,31.785721,-63.53688452,44.13150805,-29.37648964,26.78450775,-35.51664374,35.95106524,-33.85419104,45.22521608,-38.21607992,36.56071489,-92.74855063,47.79854219
300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,-32.53467964,14.97073372,-42.4351313,44.66097649,-35.61315178,15.96827706,-29.82578278,27.99621773,-40.19721626,17.10454186,-31.19375252,37.272976,-33.18850731,5.701778493,-49.5704348,22.79400643
